감정_대분류,label,NO.
기쁨,Angry,100
기쁨,Fear,46
기쁨,Joy,844
기쁨,Normal,647
기쁨,Sad,42
당황,Angry,14
당황,Fear,107
당황,Joy,687
당황,Normal,667
당황,Sad,152
분노,Angry,137
분노,Fear,71
분노,Joy,677
분노,Normal,673
분노,Sad,102
불안,Angry,12
불안,Fear,116
불안,Joy,614
불안,Normal,743
불안,Sad,192
상처,Angry,15
상처,Fear,82
상처,Joy,592
상처,Normal,773
상처,Sad,204
슬픔,Angry,31
슬픔,Fear,108
슬픔,Joy,616
슬픔,Normal,603
슬픔,Sad,333
