감정_대분류,label,NO.
기쁨,Angry,657
기쁨,Joy,1015
기쁨,Normal,7
당황,Angry,398
당황,Joy,1198
당황,Normal,31
분노,Angry,754
분노,Joy,894
분노,Normal,12
불안,Angry,279
불안,Joy,1370
불안,Normal,28
상처,Angry,354
상처,Joy,1293
상처,Normal,19
슬픔,Angry,377
슬픔,Fear,1
슬픔,Joy,1276
슬픔,Normal,37
