감정_대분류,label,NO.
기쁨,Angry,90
기쁨,Fear,35
기쁨,Joy,836
기쁨,Normal,645
기쁨,Sad,73
당황,Angry,13
당황,Fear,40
당황,Joy,665
당황,Normal,733
당황,Sad,176
분노,Angry,136
분노,Fear,34
분노,Joy,602
분노,Normal,740
분노,Sad,148
불안,Angry,14
불안,Fear,67
불안,Joy,577
불안,Normal,784
불안,Sad,235
상처,Angry,16
상처,Fear,40
상처,Joy,513
상처,Normal,827
상처,Sad,270
슬픔,Angry,31
슬픔,Fear,70
슬픔,Joy,575
슬픔,Normal,659
슬픔,Sad,356
