감정_대분류,label,NO.
기쁨,Angry,119
기쁨,Fear,16
기쁨,Joy,964
기쁨,Normal,561
기쁨,Sad,19
당황,Angry,31
당황,Fear,27
당황,Joy,860
당황,Normal,648
당황,Sad,61
분노,Angry,196
분노,Fear,23
분노,Joy,777
분노,Normal,609
분노,Sad,55
불안,Angry,19
불안,Fear,35
불안,Joy,788
불안,Normal,774
불안,Sad,61
상처,Angry,25
상처,Fear,20
상처,Joy,757
상처,Normal,770
상처,Sad,94
슬픔,Angry,54
슬픔,Fear,29
슬픔,Joy,746
슬픔,Normal,715
슬픔,Sad,147
